,tipo,ausentes_n,ausentes_pct,unicos
AccompainerRelation_id,float64,790,0.55,10
marital_Status,float64,19,0.01,6
DischargeDate_hour,int64,0,0.0,1
service_count_action,int64,0,0.0,1
service_count_instrument,int64,0,0.0,1
service_count_lab,int64,0,0.0,1
service_count_graphy,int64,0,0.0,1
DischargeFromED,int64,0,0.0,2
Foreigners,object,0,0.0,2
gender,object,1,0.0,2
IsGlobal,float64,1,0.0,2
ResidentDate_year,int64,0,0.0,6
DischargeDate_year,int64,0,0.0,6
ResidentDate_weekday,int64,0,0.0,7
DischargeDate_weekday,int64,0,0.0,7
KindRef,int64,0,0.0,7
StatusOnDischarge,int64,0,0.0,11
ResidentDate_month,int64,0,0.0,12
DischargeDate_month,int64,0,0.0,12
ResidentDate_hour,int64,0,0.0,24
ResidentDate_day,int64,0,0.0,31
DischargeDate_day,int64,0,0.0,31
age,float64,1,0.0,111
ResidentDay,float64,1,0.0,177
triage_code,int64,0,0.0,143224
PatientCode,int64,0,0.0,143280
