,tipo,ausentes_n,ausentes_pct,unicos
Temperature,float64,143443,99.9,6
BlooddpressurSystol,float64,118921,82.82,91
BlooddpressurDiastol,float64,118622,82.62,72
RespiratoryRate,float64,110143,76.71,30
explainer_id,float64,109327,76.14,14
PulseRate,float64,108360,75.47,96
O2Saturation,float64,105923,73.77,20
AVPU,object,90558,63.07,4
Source,float64,87549,60.97,3
CriticalStatus,float64,10380,7.23,3
StuporStatus,float64,10380,7.23,3
MentalDistress,float64,10380,7.23,3
MaterialDistress,float64,10380,7.23,3
PainGrade,float64,10316,7.18,11
gender,object,0,0.0,2
operational_patient,int64,0,0.0,2
ref_specialist,int64,0,0.0,2
NeedFastExecute,int64,0,0.0,3
TriageGrade,int64,0,0.0,5
admission_year,int64,0,0.0,6
admission_weekday,int64,0,0.0,7
kindref,int64,0,0.0,7
admission_month,int64,0,0.0,12
admission_hour,int64,0,0.0,24
admission_day,int64,0,0.0,31
age,int64,0,0.0,109
ChiefComplaint,object,0,0.0,897
triage_code,int64,0,0.0,143346
