,tipo,ausentes_n,ausentes_pct,unicos
SIRI,float64,4162,35.44,3080
MCQ160F,float64,3938,33.53,3
MCQ160M,float64,3938,33.53,4
MCQ160A,float64,3937,33.52,3
MCQ160C,float64,3937,33.52,3
MCQ160E,float64,3937,33.52,3
MCQ160P,float64,3937,33.52,3
MCQ160L,float64,3937,33.52,4
MCQ550,float64,3937,33.52,4
MCQ220,float64,3937,33.52,4
MCQ160B,float64,3936,33.51,3
MCQ160D,float64,3936,33.51,3
KIQ022,float64,3935,33.51,4
BPQ020,float64,3243,27.61,5
BPQ080,float64,3243,27.61,5
LBDMONO,float64,3017,25.69,19
LBDLYMNO,float64,3017,25.69,76
LBDNENO,float64,3017,25.69,125
BMXBMI,float64,3017,25.69,452
MCQ010,float64,1,0.01,3
AGQ030,float64,1,0.01,3
MCQ053,int64,0,0.0,5
DIQ010,int64,0,0.0,5
SEQN,int64,0,0.0,11744
